Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
CONDUCTIO,Dendritic Cell Absolute Count,GCST90001461,21,26.87,0.260,0.922,1.000,1.000,0.918,1.089,1.0032,1.0924,0.9601,1.1414,yes,yes,yes,no,""
AVBLOCK,CD62L- Dendritic Cell Absolute Count,GCST90001462,18,33.78,0.344,0.721,1.000,1.000,0.904,1.106,0.9977,1.0471,0.9731,1.0735,yes,yes,yes,yes,""
CONDUCTIO,CD62L- Dendritic Cell Absolute Count,GCST90001462,18,33.78,0.344,0.981,1.000,1.000,0.927,1.079,0.9929,1.0294,0.9745,1.0487,yes,yes,yes,yes,""
AVBLOCK,CD62L- Dendritic Cell %Dendritic Cell,GCST90001463,23,37.23,0.355,0.792,1.000,1.000,0.909,1.101,0.9660,1.0174,0.9405,1.0450,yes,yes,yes,yes,""
CONDUCTIO,CD62L- Dendritic Cell %Dendritic Cell,GCST90001463,23,37.23,0.355,0.991,1.000,1.000,0.930,1.075,0.9813,1.0203,0.9617,1.0410,yes,yes,yes,yes,""
AVBLOCK,CD86+ myeloid Dendritic Cell Absolute Count,GCST90001464,21,39.81,0.387,0.836,1.000,1.000,0.911,1.097,0.9824,1.0450,0.9515,1.0789,yes,yes,yes,yes,""
CONDUCTIO,CD86+ myeloid Dendritic Cell Absolute Count,GCST90001464,21,39.81,0.387,0.995,1.000,1.000,0.932,1.072,0.9851,1.0320,0.9618,1.0570,yes,yes,yes,yes,""
AVBLOCK,CD86+ myeloid Dendritic Cell %Dendritic Cell,GCST90001465,23,41.08,0.396,0.854,1.000,1.000,0.913,1.096,0.9950,1.0345,0.9753,1.0554,yes,yes,yes,yes,""
CONDUCTIO,CD86+ myeloid Dendritic Cell %Dendritic Cell,GCST90001465,23,41.08,0.396,0.996,1.000,1.000,0.933,1.071,0.9886,1.0198,0.9729,1.0363,yes,yes,yes,yes,""
AVBLOCK,CD86+ plasmacytoid Dendritic Cell Absolute Count,GCST90001466,20,13.95,0.132,0.148,0.949,1.000,0.855,1.170,0.9131,1.0237,0.8608,1.0859,yes,yes,yes,no,""
CONDUCTIO,CD86+ plasmacytoid Dendritic Cell Absolute Count,GCST90001466,20,13.95,0.132,0.463,1.000,1.000,0.889,1.125,0.9131,1.0045,0.8693,1.0552,yes,yes,yes,no,""
AVBLOCK,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001467,26,20.39,0.190,0.332,0.997,1.000,0.878,1.138,0.9743,1.0784,0.9245,1.1365,yes,yes,yes,no,""
CONDUCTIO,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001467,26,20.39,0.190,0.765,1.000,1.000,0.907,1.103,0.9785,1.0560,0.9408,1.0983,yes,yes,yes,yes,""
AVBLOCK,CD62L- myeloid Dendritic Cell Absolute Count,GCST90001468,16,37.08,0.362,0.789,1.000,1.000,0.908,1.101,0.9775,1.0951,0.9218,1.1612,yes,yes,yes,no,""
CONDUCTIO,CD62L- myeloid Dendritic Cell Absolute Count,GCST90001468,16,37.08,0.362,0.991,1.000,1.000,0.930,1.075,0.9856,1.0749,0.9425,1.1241,yes,yes,yes,no,""
AVBLOCK,CD62L- myeloid Dendritic Cell %Dendritic Cell,GCST90001469,24,43.31,0.430,0.883,1.000,1.000,0.915,1.093,0.9787,1.0411,0.9480,1.0749,yes,yes,yes,yes,""
CONDUCTIO,CD62L- myeloid Dendritic Cell %Dendritic Cell,GCST90001469,24,43.31,0.430,0.998,1.000,1.000,0.935,1.069,0.9755,1.0309,0.9482,1.0606,yes,yes,yes,yes,""
AVBLOCK,CD62L- plasmacytoid Dendritic Cell Absolute Count,GCST90001470,24,18.87,0.190,0.285,0.995,1.000,0.874,1.144,0.9471,1.0389,0.9030,1.0897,yes,yes,yes,no,""
CONDUCTIO,CD62L- plasmacytoid Dendritic Cell Absolute Count,GCST90001470,24,18.87,0.190,0.706,1.000,1.000,0.903,1.107,0.9471,1.0150,0.9138,1.0520,yes,yes,yes,yes,""
AVBLOCK,CD62L- plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001471,18,18.26,0.176,0.266,0.993,1.000,0.872,1.147,0.9674,1.0449,0.9296,1.0873,yes,yes,yes,yes,""
CONDUCTIO,CD62L- plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001471,18,18.26,0.176,0.680,1.000,1.000,0.902,1.109,0.9579,1.0148,0.9298,1.0455,yes,yes,yes,yes,""
AVBLOCK,CD62L- CD86+ myeloid Dendritic Cell Absolute Count,GCST90001472,19,46.49,0.479,0.916,1.000,1.000,0.918,1.090,1.0065,1.0907,0.9657,1.1368,yes,yes,yes,no,""
CONDUCTIO,CD62L- CD86+ myeloid Dendritic Cell Absolute Count,GCST90001472,19,46.49,0.479,0.999,1.000,1.000,0.937,1.067,1.0034,1.0641,0.9734,1.0968,yes,yes,yes,yes,""
AVBLOCK,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,GCST90001473,18,46.42,0.478,0.915,1.000,1.000,0.918,1.090,0.9934,1.0756,0.9535,1.1206,yes,yes,yes,no,""
CONDUCTIO,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,GCST90001473,18,46.42,0.478,0.999,1.000,1.000,0.937,1.067,0.9957,1.0543,0.9667,1.0858,yes,yes,yes,yes,""
AVBLOCK,Plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001474,24,29.46,0.283,0.612,1.000,1.000,0.898,1.114,0.9800,1.0598,0.9413,1.1034,yes,yes,yes,no,""
CONDUCTIO,Plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001474,24,29.46,0.283,0.953,1.000,1.000,0.922,1.085,0.9729,1.0281,0.9456,1.0578,yes,yes,yes,yes,""
AVBLOCK,HLA DR++ monocyte %monocyte,GCST90001475,22,24.53,0.180,0.464,1.000,1.000,0.889,1.125,0.9186,1.0452,0.8594,1.1172,yes,yes,yes,no,""
CONDUCTIO,HLA DR++ monocyte %monocyte,GCST90001475,22,24.53,0.180,0.880,1.000,1.000,0.915,1.093,0.9383,1.0147,0.9011,1.0565,yes,yes,yes,no,""
AVBLOCK,HLA DR++ monocyte %leukocyte,GCST90001476,8,11.29,0.072,0.090,0.857,0.999,0.840,1.190,0.8584,1.0716,0.7656,1.2015,yes,no,no,no,""
CONDUCTIO,HLA DR++ monocyte %leukocyte,GCST90001476,8,11.29,0.072,0.315,0.997,1.000,0.877,1.140,0.9497,1.0524,0.9007,1.1097,yes,yes,yes,no,""
AVBLOCK,HLA DR++ monocyte Absolute Count,GCST90001477,23,18.01,0.153,0.259,0.992,1.000,0.871,1.148,0.9592,1.0447,0.9179,1.0917,yes,yes,yes,yes,""
CONDUCTIO,HLA DR++ monocyte Absolute Count,GCST90001477,23,18.01,0.153,0.669,1.000,1.000,0.901,1.110,0.9686,1.0203,0.9430,1.0481,yes,yes,yes,yes,""
AVBLOCK,CD4 regulatory T cell %CD4+ T cell,GCST90001478,16,12.59,0.114,0.116,0.912,1.000,0.848,1.179,0.9711,1.0656,0.9257,1.1179,yes,yes,yes,no,""
CONDUCTIO,CD4 regulatory T cell %CD4+ T cell,GCST90001478,16,12.59,0.114,0.387,0.999,1.000,0.883,1.132,0.9622,1.0533,0.9183,1.1037,yes,yes,yes,no,""
AVBLOCK,CD4 regulatory T cell %T cell,GCST90001479,16,11.78,0.103,0.099,0.880,1.000,0.843,1.186,0.9448,1.0489,0.8953,1.1070,yes,yes,yes,no,""
CONDUCTIO,CD4 regulatory T cell %T cell,GCST90001479,16,11.78,0.103,0.342,0.998,1.000,0.879,1.137,0.9468,1.0239,0.9094,1.0661,yes,yes,yes,yes,""
AVBLOCK,Resting CD4 regulatory T cell Absolute Count,GCST90001480,25,20.44,0.208,0.334,0.998,1.000,0.879,1.138,0.9277,1.0165,0.8850,1.0655,yes,yes,yes,no,""
CONDUCTIO,Resting CD4 regulatory T cell Absolute Count,GCST90001480,25,20.44,0.208,0.766,1.000,1.000,0.907,1.103,0.9352,1.0077,0.8999,1.0473,yes,yes,yes,no,""
AVBLOCK,Resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001481,30,31.41,0.346,0.664,1.000,1.000,0.901,1.110,0.9701,1.0118,0.9493,1.0340,yes,yes,yes,yes,""
CONDUCTIO,Resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001481,30,31.41,0.346,0.968,1.000,1.000,0.924,1.082,0.9758,1.0164,0.9555,1.0379,yes,yes,yes,yes,""
AVBLOCK,Resting CD4 regulatory T cell %CD4+ T cell,GCST90001482,33,28.99,0.305,0.598,1.000,1.000,0.897,1.115,0.9666,1.0094,0.9452,1.0322,yes,yes,yes,yes,""
CONDUCTIO,Resting CD4 regulatory T cell %CD4+ T cell,GCST90001482,33,28.99,0.305,0.948,1.000,1.000,0.921,1.085,0.9757,1.0129,0.9570,1.0327,yes,yes,yes,yes,""
AVBLOCK,CD39+ resting CD4 regulatory T cell Absolute Count,GCST90001483,28,38.76,0.364,0.819,1.000,1.000,0.910,1.099,0.9338,0.9892,0.9064,1.0191,yes,yes,yes,no,""
CONDUCTIO,CD39+ resting CD4 regulatory T cell Absolute Count,GCST90001483,28,38.76,0.364,0.994,1.000,1.000,0.932,1.073,0.9462,0.9879,0.9253,1.0101,yes,yes,yes,yes,""
AVBLOCK,CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell,GCST90001484,28,71.09,0.870,0.996,1.000,1.000,0.933,1.072,0.9700,1.0340,0.9385,1.0686,yes,yes,yes,yes,""
CONDUCTIO,CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell,GCST90001484,28,71.09,0.870,1.000,1.000,1.000,0.949,1.054,0.9796,1.0356,0.9519,1.0657,yes,yes,yes,yes,""
AVBLOCK,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001485,36,83.29,0.947,0.999,1.000,1.000,0.938,1.066,0.9936,1.0117,0.9844,1.0211,yes,yes,yes,yes,""
CONDUCTIO,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001485,36,83.29,0.947,1.000,1.000,1.000,0.953,1.050,0.9977,1.0114,0.9907,1.0185,yes,yes,yes,yes,""
AVBLOCK,Activated CD4 regulatory T cell Absolute Count,GCST90001486,15,11.26,0.098,0.089,0.856,0.999,0.840,1.190,0.9580,1.0266,0.9245,1.0639,yes,yes,yes,yes,""
CONDUCTIO,Activated CD4 regulatory T cell Absolute Count,GCST90001486,15,11.26,0.098,0.313,0.997,1.000,0.877,1.141,0.9682,1.0208,0.9422,1.0490,yes,yes,yes,yes,""
AVBLOCK,Activated CD4 regulatory T cell %CD4 regulatory T cell,GCST90001487,28,19.92,0.190,0.317,0.997,1.000,0.877,1.140,0.9743,1.0636,0.9312,1.1128,yes,yes,yes,no,""
CONDUCTIO,Activated CD4 regulatory T cell %CD4 regulatory T cell,GCST90001487,28,19.92,0.190,0.747,1.000,1.000,0.906,1.104,0.9793,1.0415,0.9486,1.0752,yes,yes,yes,yes,""
AVBLOCK,Activated CD4 regulatory T cell %CD4+ T cell,GCST90001488,19,13.64,0.123,0.140,0.942,1.000,0.854,1.172,0.9376,1.0262,0.8949,1.0752,yes,yes,yes,no,""
CONDUCTIO,Activated CD4 regulatory T cell %CD4+ T cell,GCST90001488,19,13.64,0.123,0.446,1.000,1.000,0.887,1.127,0.9579,1.0230,0.9259,1.0584,yes,yes,yes,yes,""
AVBLOCK,CD39+ activated CD4 regulatory T cell Absolute Count,GCST90001489,30,68.65,0.772,0.994,1.000,1.000,0.932,1.073,0.9837,1.0267,0.9623,1.0495,yes,yes,yes,yes,""
CONDUCTIO,CD39+ activated CD4 regulatory T cell Absolute Count,GCST90001489,30,68.65,0.772,1.000,1.000,1.000,0.948,1.055,0.9907,1.0267,0.9726,1.0458,yes,yes,yes,yes,""
AVBLOCK,CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell,GCST90001490,8,5.18,0.050,0.014,0.287,0.826,0.773,1.293,0.9481,1.0949,0.8802,1.1794,yes,yes,yes,no,""
CONDUCTIO,CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell,GCST90001490,8,5.18,0.050,0.053,0.709,0.994,0.824,1.214,0.9503,1.0766,0.8910,1.1482,yes,yes,yes,no,""
AVBLOCK,CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell,GCST90001491,23,66.00,0.812,0.992,1.000,1.000,0.931,1.075,0.9766,1.0213,0.9543,1.0451,yes,yes,yes,yes,""
CONDUCTIO,CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell,GCST90001491,23,66.00,0.812,1.000,1.000,1.000,0.947,1.056,0.9913,1.0250,0.9743,1.0429,yes,yes,yes,yes,""
AVBLOCK,Secreting CD4 regulatory T cell Absolute Count,GCST90001492,23,21.33,0.175,0.362,0.998,1.000,0.881,1.135,0.9983,1.0378,0.9786,1.0587,yes,yes,yes,yes,""
CONDUCTIO,Secreting CD4 regulatory T cell Absolute Count,GCST90001492,23,21.33,0.175,0.796,1.000,1.000,0.909,1.100,0.9997,1.0245,0.9871,1.0375,yes,yes,yes,yes,""
AVBLOCK,Secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001493,31,32.22,0.326,0.684,1.000,1.000,0.902,1.109,0.9688,1.0200,0.9435,1.0474,yes,yes,yes,yes,""
CONDUCTIO,Secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001493,31,32.22,0.326,0.973,1.000,1.000,0.925,1.081,0.9821,1.0219,0.9621,1.0431,yes,yes,yes,yes,""
AVBLOCK,Secreting CD4 regulatory T cell %CD4+ T cell,GCST90001494,26,25.14,0.236,0.483,1.000,1.000,0.890,1.124,0.9871,1.0116,0.9747,1.0245,yes,yes,yes,yes,""
CONDUCTIO,Secreting CD4 regulatory T cell %CD4+ T cell,GCST90001494,26,25.14,0.236,0.892,1.000,1.000,0.916,1.092,0.9859,1.0074,0.9749,1.0187,yes,yes,yes,yes,""
AVBLOCK,CD39+ secreting CD4 regulatory T cell Absolute Count,GCST90001495,26,75.28,0.905,0.998,1.000,1.000,0.935,1.070,0.9784,1.0364,0.9498,1.0676,yes,yes,yes,yes,""
CONDUCTIO,CD39+ secreting CD4 regulatory T cell Absolute Count,GCST90001495,26,75.28,0.905,1.000,1.000,1.000,0.950,1.052,0.9837,1.0336,0.9589,1.0603,yes,yes,yes,yes,""
AVBLOCK,CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,GCST90001496,28,36.27,0.326,0.774,1.000,1.000,0.907,1.102,0.9604,1.0175,0.9323,1.0482,yes,yes,yes,yes,""
CONDUCTIO,CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,GCST90001496,28,36.27,0.326,0.989,1.000,1.000,0.929,1.076,0.9630,1.0118,0.9387,1.0380,yes,yes,yes,yes,""
AVBLOCK,CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001497,22,30.69,0.281,0.645,1.000,1.000,0.900,1.111,0.9551,1.0077,0.9291,1.0359,yes,yes,yes,yes,""
CONDUCTIO,CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001497,22,30.69,0.281,0.963,1.000,1.000,0.923,1.083,0.9632,1.0077,0.9410,1.0315,yes,yes,yes,yes,""
AVBLOCK,Activated & resting CD4 regulatory T cell Absolute Count,GCST90001498,19,14.22,0.133,0.154,0.954,1.000,0.856,1.168,0.8835,1.0028,0.8276,1.0705,yes,no,no,no,""
CONDUCTIO,Activated & resting CD4 regulatory T cell Absolute Count,GCST90001498,19,14.22,0.133,0.478,1.000,1.000,0.890,1.124,0.9254,1.0173,0.8812,1.0682,yes,yes,yes,no,""
AVBLOCK,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001499,29,31.34,0.313,0.662,1.000,1.000,0.901,1.110,0.9789,1.0304,0.9534,1.0580,yes,yes,yes,yes,""
CONDUCTIO,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001499,29,31.34,0.313,0.968,1.000,1.000,0.924,1.082,0.9772,1.0174,0.9571,1.0388,yes,yes,yes,yes,""
AVBLOCK,Activated & resting CD4 regulatory T cell %CD4+ T cell,GCST90001500,27,21.40,0.204,0.364,0.999,1.000,0.881,1.135,0.9515,1.0353,0.9110,1.0814,yes,yes,yes,yes,""
CONDUCTIO,Activated & resting CD4 regulatory T cell %CD4+ T cell,GCST90001500,27,21.40,0.204,0.798,1.000,1.000,0.909,1.100,0.9499,1.0192,0.9160,1.0569,yes,yes,yes,yes,""
AVBLOCK,Activated & secreting CD4 regulatory T cell Absolute Count,GCST90001501,22,20.90,0.170,0.349,0.998,1.000,0.880,1.137,0.9999,1.0309,0.9843,1.0472,yes,yes,yes,yes,""
CONDUCTIO,Activated & secreting CD4 regulatory T cell Absolute Count,GCST90001501,22,20.90,0.170,0.782,1.000,1.000,0.908,1.101,1.0017,1.0249,0.9900,1.0370,yes,yes,yes,yes,""
AVBLOCK,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001502,38,36.63,0.409,0.781,1.000,1.000,0.908,1.101,0.9871,1.0022,0.9794,1.0100,yes,yes,yes,yes,""
CONDUCTIO,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001502,38,36.63,0.409,0.990,1.000,1.000,0.930,1.076,0.9903,1.0029,0.9838,1.0094,yes,yes,yes,yes,""
AVBLOCK,Activated & secreting CD4 regulatory T cell %CD4+ T cell,GCST90001503,32,28.48,0.270,0.584,1.000,1.000,0.896,1.116,0.9921,1.0131,0.9815,1.0241,yes,yes,yes,yes,""
CONDUCTIO,Activated & secreting CD4 regulatory T cell %CD4+ T cell,GCST90001503,32,28.48,0.270,0.942,1.000,1.000,0.921,1.086,0.9901,1.0076,0.9812,1.0167,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD4+ T cell Absolute Count,GCST90001504,23,17.89,0.157,0.255,0.991,1.000,0.871,1.148,0.9758,1.0544,0.9376,1.0973,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD4+ T cell Absolute Count,GCST90001504,23,17.89,0.157,0.664,1.000,1.000,0.901,1.110,0.9706,1.0346,0.9391,1.0692,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD4+ T cell %CD4+ T cell,GCST90001505,26,20.96,0.189,0.350,0.998,1.000,0.880,1.136,0.9463,1.0294,0.9062,1.0750,yes,yes,yes,no,""
CONDUCTIO,CD25++ CD4+ T cell %CD4+ T cell,GCST90001505,26,20.96,0.189,0.784,1.000,1.000,0.908,1.101,0.9484,1.0101,0.9181,1.0435,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD4+ T cell %T cell,GCST90001506,20,15.18,0.144,0.179,0.970,1.000,0.861,1.162,0.9577,1.0469,0.9147,1.0961,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD4+ T cell %T cell,GCST90001506,20,15.18,0.144,0.530,1.000,1.000,0.893,1.120,0.9784,1.0459,0.9453,1.0825,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,GCST90001507,26,24.43,0.210,0.461,1.000,1.000,0.888,1.126,0.9364,0.9990,0.9056,1.0330,yes,yes,yes,no,""
CONDUCTIO,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,GCST90001507,26,24.43,0.210,0.878,1.000,1.000,0.915,1.093,0.9546,1.0025,0.9308,1.0282,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell,GCST90001508,32,30.62,0.268,0.643,1.000,1.000,0.900,1.112,0.9556,1.0101,0.9287,1.0393,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell,GCST90001508,32,30.62,0.268,0.963,1.000,1.000,0.923,1.083,0.9661,0.9971,0.9505,1.0134,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,GCST90001509,27,25.65,0.223,0.499,1.000,1.000,0.891,1.122,0.9584,0.9996,0.9379,1.0215,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,GCST90001509,27,25.65,0.223,0.902,1.000,1.000,0.917,1.091,0.9651,0.9960,0.9495,1.0124,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA- CD4 not regulatory T cell Absolute Count,GCST90001510,20,18.66,0.162,0.279,0.994,1.000,0.873,1.145,0.9724,1.0156,0.9508,1.0386,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD45RA- CD4 not regulatory T cell Absolute Count,GCST90001510,20,18.66,0.162,0.698,1.000,1.000,0.903,1.108,0.9780,1.0227,0.9557,1.0465,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell,GCST90001511,24,21.64,0.196,0.372,0.999,1.000,0.882,1.134,0.9505,1.0209,0.9161,1.0592,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell,GCST90001511,24,21.64,0.196,0.806,1.000,1.000,0.909,1.100,0.9675,1.0213,0.9409,1.0502,yes,yes,yes,yes,""
AVBLOCK,CD25++ CD45RA- CD4 not regulatory T cell %T cell,GCST90001512,30,23.93,0.218,0.445,1.000,1.000,0.887,1.127,0.9568,1.0051,0.9328,1.0310,yes,yes,yes,yes,""
CONDUCTIO,CD25++ CD45RA- CD4 not regulatory T cell %T cell,GCST90001512,30,23.93,0.218,0.867,1.000,1.000,0.914,1.094,0.9713,1.0068,0.9535,1.0256,yes,yes,yes,yes,""
AVBLOCK,CD4 regulatory T cell Absolute Count,GCST90001513,21,15.05,0.136,0.175,0.968,1.000,0.860,1.163,0.9525,1.0501,0.9058,1.1042,yes,yes,yes,no,""
CONDUCTIO,CD4 regulatory T cell Absolute Count,GCST90001513,21,15.05,0.136,0.523,1.000,1.000,0.892,1.121,0.9720,1.0428,0.9374,1.0813,yes,yes,yes,yes,""
AVBLOCK,Hematopoietic Stem Cell Absolute Count,GCST90001514,19,26.07,0.273,0.512,1.000,1.000,0.892,1.121,0.9872,1.0647,0.9494,1.1070,yes,yes,yes,no,""
CONDUCTIO,Hematopoietic Stem Cell Absolute Count,GCST90001514,19,26.07,0.273,0.909,1.000,1.000,0.917,1.090,0.9799,1.0369,0.9517,1.0676,yes,yes,yes,yes,""
AVBLOCK,Immature Myeloid-Derived Suppressor Cells Absolute Count,GCST90001515,22,35.04,0.342,0.748,1.000,1.000,0.906,1.104,0.9647,1.0433,0.9265,1.0863,yes,yes,yes,yes,""
CONDUCTIO,Immature Myeloid-Derived Suppressor Cells Absolute Count,GCST90001515,22,35.04,0.342,0.985,1.000,1.000,0.928,1.077,0.9749,1.0316,0.9469,1.0621,yes,yes,yes,yes,""
AVBLOCK,Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-,GCST90001516,19,25.39,0.244,0.491,1.000,1.000,0.890,1.123,0.9745,1.0432,0.9408,1.0805,yes,yes,yes,yes,""
CONDUCTIO,Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-,GCST90001516,19,25.39,0.244,0.897,1.000,1.000,0.916,1.092,0.9703,1.0210,0.9451,1.0482,yes,yes,yes,yes,""
AVBLOCK,CD33+ HLA DR+ Absolute Count,GCST90001517,30,39.52,0.398,0.831,1.000,1.000,0.911,1.098,0.9860,1.0265,0.9658,1.0480,yes,yes,yes,yes,""
CONDUCTIO,CD33+ HLA DR+ Absolute Count,GCST90001517,30,39.52,0.398,0.995,1.000,1.000,0.932,1.073,0.9812,1.0110,0.9662,1.0266,yes,yes,yes,yes,""
AVBLOCK,CD33+ HLA DR+ CD14- Absolute Count,GCST90001518,29,37.60,0.377,0.799,1.000,1.000,0.909,1.100,0.9906,1.0284,0.9717,1.0484,yes,yes,yes,yes,""
CONDUCTIO,CD33+ HLA DR+ CD14- Absolute Count,GCST90001518,29,37.60,0.377,0.992,1.000,1.000,0.931,1.075,0.9836,1.0116,0.9694,1.0264,yes,yes,yes,yes,""
AVBLOCK,CD33+ HLA DR+ CD14- %CD33+ HLA DR+,GCST90001519,19,25.63,0.246,0.499,1.000,1.000,0.891,1.123,0.9248,1.0123,0.8827,1.0606,yes,yes,yes,no,""
CONDUCTIO,CD33+ HLA DR+ CD14- %CD33+ HLA DR+,GCST90001519,19,25.63,0.246,0.902,1.000,1.000,0.916,1.091,0.9424,0.9961,0.9159,1.0250,yes,yes,yes,yes,""
AVBLOCK,CD33+ HLA DR+ CD14dim Absolute Count,GCST90001520,28,36.69,0.361,0.782,1.000,1.000,0.908,1.101,0.9737,1.0198,0.9507,1.0445,yes,yes,yes,yes,""
CONDUCTIO,CD33+ HLA DR+ CD14dim Absolute Count,GCST90001520,28,36.69,0.361,0.990,1.000,1.000,0.930,1.076,0.9688,1.0038,0.9512,1.0223,yes,yes,yes,yes,""
AVBLOCK,CD33+ HLA DR+ CD14dim %CD33+ HLA DR+,GCST90001521,25,31.63,0.302,0.669,1.000,1.000,0.901,1.110,0.9650,1.0322,0.9321,1.0686,yes,yes,yes,yes,""
CONDUCTIO,CD33+ HLA DR+ CD14dim %CD33+ HLA DR+,GCST90001521,25,31.63,0.302,0.970,1.000,1.000,0.925,1.082,0.9823,1.0363,0.9555,1.0653,yes,yes,yes,yes,""
AVBLOCK,CD33- HLA DR- Absolute Count,GCST90001522,21,26.03,0.249,0.511,1.000,1.000,0.892,1.122,0.9428,1.0224,0.9042,1.0660,yes,yes,yes,no,""
CONDUCTIO,CD33- HLA DR- Absolute Count,GCST90001522,21,26.03,0.249,0.908,1.000,1.000,0.917,1.090,0.9704,1.0311,0.9405,1.0638,yes,yes,yes,yes,""
AVBLOCK,CD33- HLA DR+ Absolute Count,GCST90001523,36,45.35,0.429,0.905,1.000,1.000,0.917,1.091,0.9777,1.0311,0.9513,1.0597,yes,yes,yes,yes,""
CONDUCTIO,CD33- HLA DR+ Absolute Count,GCST90001523,36,45.35,0.429,0.999,1.000,1.000,0.937,1.068,0.9856,1.0285,0.9641,1.0513,yes,yes,yes,yes,""
AVBLOCK,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001524,21,24.32,0.265,0.458,1.000,1.000,0.888,1.126,0.9793,1.0664,0.9371,1.1143,yes,yes,yes,no,""
CONDUCTIO,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001524,21,24.32,0.265,0.876,1.000,1.000,0.914,1.094,0.9871,1.0612,0.9509,1.1016,yes,yes,yes,no,""
AVBLOCK,CD33dim HLA DR+ CD11b+ Absolute Count,GCST90001525,26,33.02,0.336,0.703,1.000,1.000,0.903,1.107,0.9138,1.0037,0.8707,1.0535,yes,yes,yes,no,""
CONDUCTIO,CD33dim HLA DR+ CD11b+ Absolute Count,GCST90001525,26,33.02,0.336,0.977,1.000,1.000,0.926,1.080,0.9357,1.0003,0.9041,1.0353,yes,yes,yes,no,""
AVBLOCK,CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+,GCST90001526,24,45.32,0.441,0.905,1.000,1.000,0.917,1.091,0.9601,1.0175,0.9318,1.0485,yes,yes,yes,yes,""
