Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
CONDUCTIO,Natural Killer T Absolute Count,GCST90001621,34,28.00,0.249,0.937,1.000,1.000,0.920,1.087,0.9741,1.0470,0.9385,1.0867,yes,yes,yes,yes,""
AVBLOCK,Natural Killer T %T cell,GCST90001622,32,27.04,0.241,0.541,1.000,1.000,0.894,1.119,0.9477,1.0457,0.9009,1.1001,yes,yes,yes,no,""
CONDUCTIO,Natural Killer T %T cell,GCST90001622,32,27.04,0.241,0.924,1.000,1.000,0.919,1.089,0.9505,1.0171,0.9179,1.0533,yes,yes,yes,yes,""
AVBLOCK,Natural Killer T %lymphocyte,GCST90001623,33,27.63,0.242,0.559,1.000,1.000,0.895,1.118,0.9467,1.0435,0.9004,1.0973,yes,yes,yes,no,""
CONDUCTIO,Natural Killer T %lymphocyte,GCST90001623,33,27.63,0.242,0.932,1.000,1.000,0.919,1.088,0.9525,1.0184,0.9202,1.0541,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ CD4+ T cell Absolute Count,GCST90001624,24,17.73,0.171,0.250,0.991,1.000,0.870,1.149,0.9607,1.0114,0.9355,1.0386,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ CD4+ T cell Absolute Count,GCST90001624,24,17.73,0.171,0.656,1.000,1.000,0.900,1.111,0.9700,1.0080,0.9509,1.0282,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ CD4+ T cell %T cell,GCST90001625,25,15.26,0.181,0.181,0.971,1.000,0.861,1.162,0.9093,1.0515,0.8436,1.1333,yes,yes,yes,no,""
CONDUCTIO,HLA DR+ CD4+ T cell %T cell,GCST90001625,25,15.26,0.181,0.534,1.000,1.000,0.893,1.120,0.9265,1.0362,0.8746,1.0977,yes,yes,yes,no,""
AVBLOCK,HLA DR+ CD4+ T cell %lymphocyte,GCST90001626,21,14.64,0.163,0.165,0.962,1.000,0.858,1.165,0.9089,1.0671,0.8366,1.1593,yes,yes,no,no,""
CONDUCTIO,HLA DR+ CD4+ T cell %lymphocyte,GCST90001626,21,14.64,0.163,0.501,1.000,1.000,0.891,1.122,0.8910,0.9996,0.8397,1.0608,yes,yes,no,no,""
AVBLOCK,HLA DR+ CD8+ T cell Absolute Count,GCST90001627,34,29.83,0.279,0.622,1.000,1.000,0.898,1.113,0.9760,1.0375,0.9457,1.0708,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ CD8+ T cell Absolute Count,GCST90001627,34,29.83,0.279,0.956,1.000,1.000,0.922,1.084,0.9728,1.0183,0.9502,1.0426,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ CD8+ T cell %T cell,GCST90001628,30,26.00,0.267,0.510,1.000,1.000,0.892,1.122,0.9823,1.0447,0.9515,1.0785,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ CD8+ T cell %T cell,GCST90001628,30,26.00,0.267,0.908,1.000,1.000,0.917,1.090,0.9818,1.0237,0.9609,1.0461,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ CD8+ T cell %lymphocyte,GCST90001629,30,26.34,0.262,0.520,1.000,1.000,0.892,1.121,0.9485,1.0230,0.9121,1.0638,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ CD8+ T cell %lymphocyte,GCST90001629,30,26.34,0.262,0.914,1.000,1.000,0.918,1.090,0.9605,1.0139,0.9341,1.0425,yes,yes,yes,yes,""
AVBLOCK,CD8+ Natural Killer T Absolute Count,GCST90001630,26,20.54,0.180,0.337,0.998,1.000,0.879,1.138,0.9577,1.1148,0.8855,1.2057,yes,no,no,no,""
CONDUCTIO,CD8+ Natural Killer T Absolute Count,GCST90001630,26,20.54,0.180,0.770,1.000,1.000,0.907,1.102,0.9556,1.0478,0.9113,1.0987,yes,yes,yes,yes,""
AVBLOCK,CD8+ Natural Killer T %T cell,GCST90001631,27,20.03,0.181,0.321,0.997,1.000,0.877,1.140,0.9667,1.0889,0.9092,1.1578,yes,yes,yes,no,""
CONDUCTIO,CD8+ Natural Killer T %T cell,GCST90001631,27,20.03,0.181,0.751,1.000,1.000,0.906,1.104,0.9548,1.0382,0.9144,1.0841,yes,yes,yes,yes,""
AVBLOCK,CD8+ Natural Killer T %lymphocyte,GCST90001632,27,20.07,0.181,0.322,0.997,1.000,0.878,1.140,0.9353,1.0609,0.8764,1.1321,yes,yes,yes,no,""
CONDUCTIO,CD8+ Natural Killer T %lymphocyte,GCST90001632,27,20.07,0.181,0.753,1.000,1.000,0.906,1.104,0.9295,1.0127,0.8893,1.0585,yes,yes,yes,no,""
AVBLOCK,CD8dim Natural Killer T Absolute Count,GCST90001633,27,23.37,0.212,0.427,0.999,1.000,0.886,1.129,0.9636,1.0508,0.9215,1.0989,yes,yes,yes,yes,""
CONDUCTIO,CD8dim Natural Killer T Absolute Count,GCST90001633,27,23.37,0.212,0.854,1.000,1.000,0.913,1.096,0.9479,1.0038,0.9202,1.0340,yes,yes,yes,yes,""
AVBLOCK,CD8dim Natural Killer T %T cell,GCST90001634,19,19.43,0.172,0.302,0.996,1.000,0.876,1.142,0.9752,1.0846,0.9231,1.1458,yes,yes,yes,no,""
CONDUCTIO,CD8dim Natural Killer T %T cell,GCST90001634,19,19.43,0.172,0.729,1.000,1.000,0.905,1.105,0.9552,1.0266,0.9203,1.0656,yes,yes,yes,yes,""
AVBLOCK,CD8dim Natural Killer T %lymphocyte,GCST90001635,26,23.65,0.211,0.436,1.000,1.000,0.887,1.128,0.9536,1.0597,0.9032,1.1189,yes,yes,yes,no,""
