id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001951,CD33 on CD66b++ myeloid cell,5,IVW,154.557435294281,41.3505579819053,-0.0153628356534427,0.013789083116376,0.984754570705752,0.958496432407239,1.01173205422412,0.265223280796589,0.777268633623483
ebi-a-GCST90001507,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,3,IVW,65.9202293681214,48.581422098781,-0.0365894819729905,0.0329185005481908,0.96407182298771,0.903833837963226,1.02832450041184,0.266345759132923,0.777268633623483
ebi-a-GCST90001937,CD25 on resting CD4 regulatory T cell,1,Wald,41.9022702324039,41.9022702324039,-0.408636363636364,0.370535491905355,0.664555845060897,0.321458788763595,1.37384475597395,0.27010251302024,0.783932034467669
ebi-a-GCST90001729,CD19 on IgD+ CD38+ B cell,4,IVW,48.9387351255353,42.9189138703099,-0.0309933471371908,0.0281971609523008,0.969482022885465,0.917355887161785,1.02457007782012,0.271695874469808,0.783932034467669
ebi-a-GCST90002110,HLA DR on CD33dim HLA DR+ CD11b+,4,IVW,76.9436953896809,36.9160256736395,-0.029766764876661,0.0271269006854988,0.970671901929722,0.920410520785002,1.02367793492003,0.272503557286126,0.783932034467669
ebi-a-GCST90001544,Effector Memory CD4+ T cell %T cell,4,IVW,39.1665324351468,32.1562078138083,0.0535480801830691,0.0494698788499145,1.05500771551228,0.957515966986207,1.16242581655714,0.279057919760254,0.795938486332295
ebi-a-GCST90001622,Natural Killer T %T cell,5,IVW,58.5308733141622,34.8296979962968,0.0544112179185411,0.0503445022809294,1.05591872558978,0.956701348704887,1.16542571677202,0.279795987947572,0.795938486332295
ebi-a-GCST90001839,CD3 on Effector Memory CD8+ T cell,3,IVW,72.4855335725494,30.3233777777778,-0.0373644658417729,0.0346304619423366,0.96332497231254,0.900108316485677,1.03098147776721,0.280610932578437,0.795938486332295
ebi-a-GCST90001680,CD25++ CD8+ T cell %CD8+ T cell,1,Wald,35.3796921730343,35.3796921730343,-0.0447808513495367,0.0419981200483416,0.956207010349197,0.880648098819206,1.03824881682809,0.286306816108153,0.798084030031285
ebi-a-GCST90001679,CD25++ CD8+ T cell %T cell,2,IVW,31.5134981284988,30.6158714049266,-0.0417283328149659,0.0392200093154152,0.959130309413553,0.888163393636629,1.03576769435299,0.28734899537499,0.798084030031285
ebi-a-GCST90001730,CD19 on IgD+ CD38dim B cell,4,IVW,35.3176421365269,32.2189393932982,-0.035510308878456,0.0334704031355628,0.965112784948321,0.903831527787934,1.03054901166188,0.28871419062536,0.798084030031285
ebi-a-GCST90001522,CD33- HLA DR- Absolute Count,1,Wald,32.2261015691976,32.2261015691976,0.0762794117647059,0.0721050420168067,1.07926409111591,0.937023918312954,1.24309631334643,0.290104273983477,0.798084030031285
ebi-a-GCST90001907,CCR7 on naive CD4+ T cell,4,IVW,63.4716683503027,30.1546994553777,0.0406444268766815,0.0385433400108865,1.04148171679232,0.965701479902207,1.12320855770307,0.291648423344281,0.798084030031285
ebi-a-GCST90001422,CD20- CD38- B cell %B cell,1,Wald,31.2222132617933,31.2222132617933,0.0577943219932918,0.054867872544322,1.05949705805555,0.951470393636432,1.17978869709035,0.292186886460582,0.798084030031285
ebi-a-GCST90001965,FSC-A on monocyte,2,IVW,34.2198674416089,32.1050475486243,-0.0730933084370705,0.0694964932142293,0.929514094471886,0.811146633725375,1.06515445654233,0.2929118099272,0.798084030031285
ebi-a-GCST90001663,CD28- CD8dim T cell Absolute Count,2,IVW,36.2335888835925,30.4828407062091,-0.064762200854374,0.0617071813920912,0.937290323716537,0.830515840730951,1.05779216704579,0.29394422368624,0.798084030031285
ebi-a-GCST90001913,CD45 on granulocyte,1,Wald,33.9068076563291,33.9068076563291,-0.0903849710982659,0.0861994219653179,0.913579415893961,0.771563858948325,1.0817346347492,0.294382248609171,0.798084030031285
ebi-a-GCST90001532,Basophil Absolute Count,3,IVW,82.5363428310116,33.1637905904485,-0.0122265915616097,0.0116913032732534,0.987847849513262,0.965468748367969,1.01074568745756,0.295660230384159,0.798084030031285
ebi-a-GCST90001800,CD27 on IgD+ CD24+ B cell,6,IVW,125.834096286456,32.7064376949037,-0.0259540397250832,0.0248264884550665,0.974379871346411,0.928101704256538,1.02296561824071,0.295830159402041,0.798084030031285
ebi-a-GCST90001531,CD33dim HLA DR- Absolute Count,3,IVW,80.1282909629595,33.2482440166493,-0.0121653798191972,0.0116839282813001,0.987908319252079,0.965541804991775,1.01079294775412,0.297779809113221,0.799789133326217
ebi-a-GCST90001898,CD28 on CD4+ T cell,2,IVW,109.483774061594,46.9076011240751,-0.0424385423245656,0.0410711781141627,0.958449367781096,0.884318443128473,1.03879456290671,0.301467013097159,0.801924770584653
ebi-a-GCST90002100,CD45RA on naive CD8+ T cell,2,IVW,42.0179028590622,32.5637731739313,-0.047462082429467,0.0459524392185614,0.953646632410534,0.871509195004659,1.04352530612496,0.301673025253508,0.801924770584653
ebi-a-GCST90001943,CD25 on activated & secreting CD4 regulatory T cell,1,Wald,33.4718034014572,33.4718034014572,-0.062337265917603,0.0608000936329588,0.939565949775867,0.834013700384976,1.0584768254655,0.305229957825759,0.801924770584653
ebi-a-GCST90001546,Terminally Differentiated CD4+ T cell %CD4+ T cell,5,IVW,50.5960889951961,30.4842324419821,-0.0495440008016652,0.0483795009372853,0.951663283267826,0.865569313510166,1.04632060146326,0.305802161544428,0.801924770584653
ebi-a-GCST90001601,Lymphocyte Absolute Count,2,IVW,32.5616468533586,32.0243369808217,0.0604654725077594,0.0590671252863556,1.06233091731459,0.946195479759429,1.19272074536795,0.305989343100743,0.801924770584653
ebi-a-GCST90001894,CD28 on CD28+ CD4+ T cell,2,IVW,123.428991493898,54.6824766766361,-0.0396188800306468,0.0387862520323659,0.961155684981294,0.890795910867561,1.037072846318,0.307033193074716,0.801924770584653
ebi-a-GCST90001630,CD8+ Natural Killer T Absolute Count,2,IVW,67.248370251957,30.6559252832903,-0.0745622605290345,0.0731145204927396,0.928149685169597,0.804232622089023,1.07116002810573,0.307822852629694,0.801924770584653
ebi-a-GCST90001724,CD19 on IgD+ CD24+ B cell,4,IVW,36.8065325395139,33.5013242842235,-0.0366182855074822,0.0362223050700926,0.964044054711619,0.897974144469324,1.03497516621044,0.312049000762955,0.804270920871231
