Outcome,Instrument threshold,Immunophenotype,GWAS Catalog accession,Instruments,Cochran Q,Q df,Q P,Cochran Q (modified weights),Q P (modified weights)
CONDUCTIO,P<1e-5,CD28+ CD45RA+ CD8+ T cell %T cell,GCST90001688,110,108.737817805201,109,0.489066481605492,98.2815161533071,0.759798724748983
CONDUCTIO,P<1e-5,FSC-A on CD8+ T cell,GCST90001974,18,11.4975964106306,17,0.829559390754984,10.8439008736947,0.864562683750812
CONDUCTIO,P<1e-5,CD39+ CD4+ T cell %CD4+ T cell,GCST90001659,25,30.7822616522771,24,0.160160544248872,29.1742202112239,0.213642958654636
CONDUCTIO,P<1e-5,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,GCST90001507,26,25.3160118597256,25,0.444779845618999,22.5665206627522,0.60285954512605
CONDUCTIO,P<1e-5,CD45RA on resting CD4 regulatory T cell,GCST90002102,29,22.5878052420607,28,0.753380343509634,20.8677966330347,0.830817323537212
CONDUCTIO,P<1e-5,CD8+ Natural Killer T %lymphocyte,GCST90001632,27,30.8706981647535,26,0.233120205943995,27.368777241666,0.390198306107002
CONDUCTIO,P<1e-5,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001524,21,25.7353401263316,20,0.174731777066676,22.7497713784952,0.301247696085704
CONDUCTIO,P<1e-5,CD19 on IgD- CD24- B cell,GCST90001731,23,33.6259451844724,22,0.0535948685756641,30.3099634002513,0.111123208837552
CONDUCTIO,P<1e-5,CD19 on IgD- CD27- B cell,GCST90001732,26,31.2151949565668,25,0.181991727153275,27.9998436034252,0.307860466114908
CONDUCTIO,P<1e-5,Monocyte Absolute Count,GCST90001583,27,30.6721157894523,26,0.240706951400306,26.7813204757772,0.420869150878611
CONDUCTIO,P<1e-5,CCR2 on CD14+ CD16+ monocyte,GCST90001992,37,37.9884707925912,36,0.378858917310857,34.358293634525,0.546779224418165
CONDUCTIO,P<1e-5,SSC-A on plasmacytoid Dendritic Cell,GCST90002072,26,14.8928658100726,25,0.943851101436903,13.7368692365981,0.96612742554331
CONDUCTIO,P<1e-5,CD3 on HLA DR+ CD4+ T cell,GCST90001849,26,27.4107664044772,25,0.335681158031657,24.6053868274987,0.484654125608935
CONDUCTIO,P<1e-5,CCR2 on granulocyte,GCST90002018,17,22.6681794748754,16,0.122896855338388,20.0314306466688,0.218808358315695
CONDUCTIO,P<1e-5,CD4 on CD4+ T cell,GCST90002022,22,20.4042643836287,21,0.495799754704701,18.7816120881827,0.599147156940347
CONDUCTIO,P<1e-5,CD3 on CD39+ CD8+ T cell,GCST90001866,16,16.6711155524994,15,0.33890220158362,15.2605336680715,0.43281843353839
CONDUCTIO,P<1e-5,SSC-A on CD14+ monocyte,GCST90002074,23,25.1571950111642,22,0.289616652919846,22.3465851148319,0.439371861343929
CONDUCTIO,P<1e-5,CD4+ T cell %T cell,GCST90001591,23,21.8722441658309,22,0.467536077066851,20.2488288965976,0.567478244034355
CONDUCTIO,P<1e-5,CD28 on CD39+ secreting CD4 regulatory T cell,GCST90001888,21,47.2751261129258,20,0.000537150447434564,38.0988990161221,0.0086123956061644
CONDUCTIO,P<1e-5,Central Memory CD4+ T cell Absolute Count,GCST90001537,28,51.3194084187416,27,0.00319289496089901,44.0394041978768,0.0204850138097297
CONDUCTIO,P<1e-5,CD4 regulatory T cell %T cell,GCST90001479,16,8.36907187745869,15,0.908135406404324,7.75215953536559,0.933333998653072
CONDUCTIO,P<1e-5,HLA DR on B cell,GCST90002116,22,28.7940698215369,21,0.119033928916697,25.4645451777777,0.227605162526382
CONDUCTIO,P<1e-5,CD16-CD56 on Natural Killer T,GCST90001883,28,14.1467726304844,27,0.979780279322322,13.6749235365995,0.98423029714135
CONDUCTIO,P<1e-5,CD45 on Granulocytic Myeloid-Derived Suppressor Cells,GCST90002047,18,12.7778682661938,17,0.75092470538662,11.5052560486102,0.829126484428344
CONDUCTIO,P<1e-5,Effector Memory CD4-CD8- T cell %T cell,GCST90001571,23,28.7862246833618,22,0.151066024103419,25.6261148958086,0.268080354872809
CONDUCTIO,P<1e-5,IgD+ B cell %B cell,GCST90001391,17,13.4552852236444,16,0.639222860383579,12.4876579288324,0.709783933149655
CONDUCTIO,P<1e-5,CD11c+ monocyte %monocyte,GCST90001449,20,7.7022374290916,19,0.989424253171605,7.43498407927777,0.991508597654252
CONDUCTIO,P<1e-5,IgD on IgD+ CD38dim B cell,GCST90001825,22,16.4441772291387,21,0.744198370750023,14.9380410622393,0.82604784935857
CONDUCTIO,P<1e-5,CD4 on Terminally Differentiated CD4+ T cell,GCST90002026,24,16.2808509136995,23,0.842984766906197,15.0303352476533,0.893543045661166
CONDUCTIO,P<1e-5,CD80 on monocyte,GCST90002039,23,23.0005928824003,22,0.401696132469238,20.6819378525972,0.540462254053999
CONDUCTIO,P<1e-5,CD38 on transitional B cell,GCST90001819,24,34.1867961786513,23,0.0625050225414983,28.9365612119031,0.182422315023261
CONDUCTIO,P<1e-5,CD8 on HLA DR+ CD8+ T cell,GCST90002060,25,11.7126246202094,24,0.982955726519545,10.7332211039789,0.990791098216836
CONDUCTIO,P<1e-5,CD28 on CD39+ CD8+ T cell,GCST90001897,20,22.2269821459414,19,0.273105778810122,19.4522104388527,0.42819102171383
CONDUCTIO,P<1e-5,BAFF-R on switched memory B cell,GCST90001718,19,22.283322120164,18,0.219649109018478,19.7271455398014,0.348388828702851
CONDUCTIO,P<1e-5,HLA DR+ T cell%T cell,GCST90001619,31,33.8707917214916,30,0.28602793078245,30.3030895177087,0.450211894324035
CONDUCTIO,P<1e-5,HLA DR+ T cell%lymphocyte,GCST90001620,25,26.6912928169464,24,0.31904712320993,23.5374934682769,0.488283336302981
CONDUCTIO,P<1e-5,CD24 on transitional B cell,GCST90001774,20,16.6833897010615,19,0.6113078053508,15.2512368859264,0.706501148793031
CONDUCTIO,P<1e-5,Central Memory CD4+ T cell %CD4+ T cell,GCST90001538,32,44.2449307561743,31,0.0580973549367941,38.4502298320401,0.167842011631056
CONDUCTIO,P<1e-5,CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,GCST90001496,28,46.3551514597323,27,0.011647600662275,40.7365062780599,0.0436500264563632
CONDUCTIO,P<1e-5,CD86+ plasmacytoid Dendritic Cell Absolute Count,GCST90001466,20,23.6109893730278,19,0.211499840640092,19.4009392268161,0.431400360851375
CONDUCTIO,P<1e-5,CD45 on CD33+ HLA DR+ CD14dim,GCST90002043,16,11.4280384260628,15,0.721703528520336,10.5064873321951,0.786730195807543
CONDUCTIO,P<1e-5,Natural Killer T Absolute Count,GCST90001621,34,47.6968794757679,33,0.0471077937366722,42.2114734426763,0.13067542564753
CONDUCTIO,P<1e-5,HLA DR+ Natural Killer %Natural Killer,GCST90001649,23,14.3484177575061,22,0.888653281736123,13.0429565081149,0.931956281361845
CONDUCTIO,P<1e-5,HLA DR+ Natural Killer  %CD3- lymphocyte,GCST90001650,23,28.2401349479424,22,0.167858823028241,24.536379140416,0.319754643886577
CONDUCTIO,P<1e-5,IgD+ CD38+ B cell Absolute Count,GCST90001392,29,28.5257195045215,28,0.436867976342417,25.33871222042,0.609343947515722
CONDUCTIO,P<1e-5,IgD- CD38+ B cell %B cell,GCST90001410,18,17.1217409861685,17,0.44614804474736,15.7598093463713,0.540921638409702
CONDUCTIO,P<1e-5,BAFF-R on IgD+ CD38+ B cell,GCST90001708,27,35.1797003160855,26,0.107817562668802,31.4015055334336,0.213654680754725
CONDUCTIO,P<1e-5,CD45RA+ CD28- CD8+ T cell %T cell,GCST90001700,206,218.017404483199,205,0.253818911460174,195.654151497916,0.668475162024221
