Outcome,Instrument set,Immunophenotype,GWAS Catalog accession,Instruments,Method,beta,SE,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
CONDUCTIO,all instruments,CD39+ CD4+ T cell %CD4+ T cell,GCST90001659,25,IVW,-0.00571446093779486,0.0121199476898079,0.994301835537476,0.970960434770947,1.01820435184511,0.637289280351698,0.976120388751442
CONDUCTIO,all instruments,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,GCST90001507,26,IVW,-0.0219957066976201,0.0124983632764178,0.978244434941355,0.954571721053447,1.00250421564725,0.0784269727388651,0.924454769589635
CONDUCTIO,all instruments,CD45RA on resting CD4 regulatory T cell,GCST90002102,29,IVW,-0.00597279952965888,0.0075824450605643,0.994045002177808,0.979381144641028,1.00892841541978,0.430863906552888,0.976120388751442
CONDUCTIO,all instruments,CD8+ Natural Killer T %lymphocyte,GCST90001632,27,IVW,-0.0302020335473547,0.0218667584753778,0.970249490799124,0.929544237502064,1.01273724952103,0.167222159545891,0.96753368259999
CONDUCTIO,all instruments,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001524,21,IVW,0.0232205554828804,0.0184785427187953,1.02349225148305,0.987086713044633,1.0612404918457,0.208890305818911,0.96753368259999
CONDUCTIO,all instruments,CD19 on IgD- CD24- B cell,GCST90001731,23,IVW,-0.0319242986213874,0.0259498383952551,0.968579902137836,0.920548140125268,1.01911783418266,0.218610571349095,0.96753368259999
CONDUCTIO,all instruments,CD19 on IgD- CD27- B cell,GCST90001732,26,IVW,-0.0181925173042299,0.0223377480682574,0.981971967563738,0.939906850803678,1.02591969008045,0.415399039065032,0.976120388751442
CONDUCTIO,all instruments,Monocyte Absolute Count,GCST90001583,27,IVW,-0.014958955303215,0.0100002643461402,0.985152374053727,0.96603088481585,1.00465235155365,0.134691187606515,0.96753368259999
CONDUCTIO,all instruments,CCR2 on CD14+ CD16+ monocyte,GCST90001992,37,IVW,0.0103657327396073,0.00836350822761621,1.01041964305953,0.993991381002776,1.02711942436621,0.215197373022767,0.96753368259999
CONDUCTIO,all instruments,SSC-A on plasmacytoid Dendritic Cell,GCST90002072,26,IVW,0.0047188022473491,0.0151731124870263,1.00472995332769,0.975289920109044,1.03505866132708,0.755802412114134,0.978772201123906
CONDUCTIO,all instruments,CD3 on HLA DR+ CD4+ T cell,GCST90001849,26,IVW,0.00249064269875369,0.0163549568337541,1.00249374692592,0.970867698607572,1.03515001484439,0.878960800261023,0.983378204310675
CONDUCTIO,all instruments,CCR2 on granulocyte,GCST90002018,17,IVW,0.00193543617197002,0.0200338160039541,1.00193731033747,0.963357362391577,1.04206228450273,0.923037335441807,0.994992668104784
CONDUCTIO,all instruments,CD4 on CD4+ T cell,GCST90002022,22,IVW,-0.0344832265496424,0.0169153112155839,0.966104544457203,0.934599450626977,0.99867166644996,0.0414918955928244,0.924454769589635
CONDUCTIO,all instruments,CD3 on CD39+ CD8+ T cell,GCST90001866,16,IVW,0.00940687392294485,0.0213436304348736,1.0094512576229,0.96809346488886,1.0525758911444,0.659405229559765,0.976120388751442
